FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_SelectionMode
fish1+3+4+5+15,247.61,1392,69.6,20.0,20.0,55.97416507710553,47.51962444603853,7.333333333333333,1771.1604095563137,167.59721532208772,11142,3734,456.8806032190205,250.00831364949548,929.728916868516,available
fish1+3+4+5+15,247.61,1515,75.75,20.0,20.0,35.14765603506332,22.27233390360313,30.266666666666666,603.3371255214257,96.03980148716356,9309,1277,449.90265167761913,240.5906021714846,876.6732538491037,available
fish1+3+4+5+15,247.61,1651,82.55,20.0,20.0,34.78855616095424,22.38692548410374,2.8,552.2373909745922,95.76929416272974,7581,1282,455.8745630478848,244.567193814426,852.0617568623107,available
fish1+3+4+5+15,247.61,1716,85.8,20.0,20.0,36.51166860848558,18.89025616563693,2.8,564.1448615851345,92.44101876913608,8141,616,465.65644958496085,244.6735058580929,873.1499554430538,available
fish1+3+4+5+15,247.61,1758,87.9,20.0,20.0,43.13067583864027,19.855846491250084,2.8,643.3636708380735,104.81237158409444,7768,971,455.1137758752142,247.3751204231156,857.8488962983298,available
fish1+3+4+5+15,247.61,1930,96.5,20.0,20.0,44.33837651660856,19.976400239191594,3.866666666666666,634.3382631778535,110.95917223721776,8273,1972,463.1831727425845,247.2362792648209,875.8794520074055,available
fish1+3+4+5+15,247.61,1948,97.4,20.0,20.0,44.087730741390736,20.24151389044716,3.866666666666666,635.0587789154341,110.8643898345396,8372,1529,467.2751083296977,248.32926757760583,883.0443759073034,available
fish1+3+4+5+15,247.61,2049,102.45,20.0,20.0,44.50543011916388,20.45489054773453,3.6,646.3026166097837,111.47763963152282,7901,1226,473.8691273550339,248.15860350790027,880.0477308629341,available
fish1+3+4+5+15,247.61,2206,110.3,20.0,20.0,52.59923064864739,22.33632654651724,3.6,878.2897231702691,131.3652266926153,10147,1274,456.8836239893595,245.6802245818137,905.5038485711732,available
fish1+3+4+5+15,247.61,2236,111.8,20.0,20.0,50.56549715172576,22.726853713892528,2.8,782.9351535836176,125.04144334536328,12158,443,456.1075778801812,244.06490233150052,943.3324802116816,available
fish1+3+4+5+15,247.61,2394,119.7,20.0,20.0,108.79435100654293,57.54764836757042,35.2,4752.237390974591,284.75798134185294,75674,7789,439.0827295937431,241.882363262558,2194.445092856301,available
fish1+3+4+5+15,247.61,2423,121.15,20.0,20.0,102.04135620886022,69.91001312782599,34.266666666666666,6296.587030716722,299.463188610146,121568,17426,438.1111456295814,237.2895244750553,3106.760670104637,available
fish1+3+4+5+15,247.61,2488,124.4,20.0,20.0,102.5042806992426,65.02236702539996,53.86666666666667,5339.514599924155,277.8834733040133,44243,68461,441.67183486145393,246.3401397808393,1572.8719746422933,available
fish1+3+4+5+15,247.61,2662,133.1,20.0,20.0,124.435928659278,69.91001312782599,37.06666666666666,8699.317406143344,388.691883574208,219417,39833,410.3994854392535,238.9573892942641,5037.696874733518,available
